id,name,area,dazhihui,eastmoney,jinrongjie,jinrongjie_score,tonghuashun
000001,平安银行,SZ,0.001,0.001,0.001,0.001,0.001
000002,万科A,SZ,7.3,74.94,20.57,44.23,0.001
000004,国农科技,SZ,6.1,59.84,20.01,63.19,4.8
000005,世纪星源,SZ,6.6,61.24,20.71,69.07,4.0
000006,深振业A,SZ,8.1,68.23,25.35,62.70,6.4
000007,全新好,SZ,5.9,50.6,20.23,59.18,4.9
000008,神州高铁,SZ,6.6,64.34,78.81,46.15,6.0
000009,中国宝安,SZ,7.5,64.22,65.55,51.99,6.0
000010,*ST美丽,SZ,5.6,59.3,20.0,69.81,5.5
000011,深物业A,SZ,7.1,70.65,27.31,72.84,6.3
000012,南玻A,SZ,6.8,69.86,21.39,51.96,5.9
000014,沙河股份,SZ,7.0,60.84,93.23,67.93,5.0
000016,深康佳A,SZ,6.9,71.24,20.85,59.84,4.4
000017,*ST中华A,SZ,5.7,45.92,23.1,62.57,4.2
000019,深粮控股,SZ,5.4,61.36,20.0,69.85,6.2
000020,深华发A,SZ,5.5,60.65,22.51,72.03,5.0
000021,深科技,SZ,7.3,77.19,25.54,57.26,6.6
000023,深天地A,SZ,5.3,58.62,21.64,53.46,4.0
000025,特力A,SZ,6.5,66.53,20.36,66.49,5.0
000026,飞亚达,SZ,6.5,63.31,20.87,56.45,4.4
000027,深圳能源,SZ,7.6,73.33,25.41,60.78,6.5
000028,国药一致,SZ,6.7,70.64,20.04,56.05,5.7
000029,深深房A,SZ,6.5,0.001,20.09,29.88,5.2
000030,富奥股份,SZ,6.9,68.44,20.18,64.26,5.7
000031,大悦城,SZ,7.8,73.5,21.27,76.40,5.7
000032,深桑达A,SZ,6.9,68.99,93.92,76.31,5.3
000034,神州数码,SZ,6.7,76.49,26.49,45.16,5.2
000035,中国天楹,SZ,7.7,72.92,54.47,54.36,6.8
000036,华联控股,SZ,7.9,78.77,27.28,67.45,6.9
000037,深南电A,SZ,6.6,62.63,28.46,64.69,5.7
000038,深大通,SZ,6.2,62.4,77.54,61.45,5.6
000039,中集集团,SZ,6.5,66.5,20.06,72.13,4.6
000040,东旭蓝天,SZ,6.9,60.2,20.49,59.99,4.2
000042,中洲控股,SZ,6.0,59.18,87.67,59.83,4.6
000045,深纺织A,SZ,6.4,60.9,23.07,73.38,4.1
000046,泛海控股,SZ,6.9,61.19,20.21,62.11,5.1
000048,京基智农,SZ,5.6,66.76,20.0,62.59,6.1
000049,德赛电池,SZ,6.9,72.27,91.18,63.05,5.6
000050,深天马A,SZ,8.0,74.99,20.06,59.82,6.5
000055,方大集团,SZ,7.3,65.8,69.6,53.65,5.9
000056,皇庭国际,SZ,6.6,65.24,20.55,76.98,5.2
000058,深赛格,SZ,5.5,52.71,20.0,58.05,4.1
000059,华锦股份,SZ,6.5,64.39,23.12,68.60,4.7
000060,中金岭南,SZ,7.2,72.8,20.05,64.89,5.5
000061,农产品,SZ,6.6,58.83,20.0,52.64,6.7
000062,深圳华强,SZ,8.0,75.18,75.93,60.82,6.6
000063,中兴通讯,SZ,7.4,76.41,21.14,62.90,6.5
000065,北方国际,SZ,6.7,72.13,99.44,78.20,6.6
000066,中国长城,SZ,6.7,70.46,20.23,46.84,5.3
000068,华控赛格,SZ,6.1,56.81,20.0,63.03,5.7
000069,华侨城A,SZ,8.0,71.8,94.11,68.60,6.4
000070,特发信息,SZ,6.3,62.66,20.83,68.91,4.6
000078,海王生物,SZ,5.8,57.88,25.91,62.61,4.0
000088,盐田港,SZ,7.2,69.04,20.13,64.13,4.9
000089,深圳机场,SZ,7.5,72.55,67.31,67.14,6.7
000090,天健集团,SZ,7.5,69.25,20.0,60.60,6.8
000096,广聚能源,SZ,6.7,64.33,24.03,62.61,5.4
000099,中信海直,SZ,8.0,68.09,42.84,68.47,5.8
000100,TCL科技,SZ,7.9,72.4,39.68,48.65,6.6
000150,宜华健康,SZ,5.3,43.62,20.37,53.45,3.8
000151,中成股份,SZ,7.0,62.31,20.66,69.25,5.2
000153,丰原药业,SZ,5.9,65.4,21.58,65.88,5.3
000155,川能动力,SZ,7.1,60.54,20.26,60.66,4.8
000156,华数传媒,SZ,7.1,69.3,21.49,51.52,5.5
000157,中联重科,SZ,7.6,80.92,74.6,67.65,6.4
000158,常山北明,SZ,6.5,67.81,23.99,51.98,4.5
000159,国际实业,SZ,6.2,51.45,22.99,50.82,4.5
000166,申万宏源,SZ,6.9,77.39,22.78,64.78,6.1
000301,东方盛虹,SZ,6.6,70.65,81.03,71.11,5.6
000333,美的集团,SZ,7.7,85.01,42.52,66.80,6.7
000338,潍柴动力,SZ,7.4,78.94,23.94,55.67,5.8
000400,许继电气,SZ,6.3,74.19,20.59,54.19,4.8
000401,冀东水泥,SZ,7.8,81.4,29.99,64.74,6.3
000402,金融街,SZ,8.1,71.84,44.39,70.78,5.5
000403,双林生物,SZ,6.5,0.001,95.99,43.73,7.1
000404,长虹华意,SZ,6.6,65.14,20.06,74.90,5.0
000407,胜利股份,SZ,6.0,58.8,20.57,63.62,5.5
000408,*ST藏格,SZ,6.1,51.63,20.45,45.14,4.1
000409,ST地矿,SZ,6.9,62.65,97.02,68.60,6.0
000410,*ST沈机,SZ,6.2,62.75,20.85,59.35,4.2
000411,英特集团,SZ,5.6,67.19,20.81,78.64,5.4
000413,东旭光电,SZ,7.0,62.15,20.65,45.81,4.5
000415,渤海租赁,SZ,7.4,63.05,20.8,62.31,4.7
000416,民生控股,SZ,7.1,68.66,20.0,63.95,4.9
000417,合肥百货,SZ,7.1,60.25,20.36,53.73,4.9
000419,通程控股,SZ,6.7,60.25,20.2,70.20,4.9
000420,吉林化纤,SZ,5.3,59.54,23.95,44.71,4.6
000421,南京公用,SZ,5.2,58.11,20.89,61.50,5.9
000422,ST宜化,SZ,6.1,53.77,92.19,73.00,4.7
000423,东阿阿胶,SZ,7.6,70.93,20.0,53.59,5.7
000425,徐工机械,SZ,7.1,75.04,20.24,50.47,5.2
000426,兴业矿业,SZ,6.4,57.48,21.95,59.38,4.5
000428,华天酒店,SZ,6.6,60.26,31.25,56.31,5.2
000429,粤高速A,SZ,6.2,69.98,32.86,47.36,6.1
000430,张家界,SZ,6.3,59.21,20.0,76.67,4.9
000488,晨鸣纸业,SZ,6.7,74.09,20.1,74.29,5.5
000498,山东路桥,SZ,6.1,70.48,26.71,70.19,6.1
000501,鄂武商A,SZ,6.2,67.48,20.02,56.91,5.8
000502,绿景控股,SZ,5.7,57.11,28.27,59.75,4.2
000503,国新健康,SZ,6.4,58.18,23.21,55.82,4.0
000504,*ST生物,SZ,5.4,58.22,56.45,60.82,5.7
000505,京粮控股,SZ,6.3,62.64,20.0,57.48,5.0
000506,中润资源,SZ,7.3,60.92,20.04,60.09,4.7
000507,珠海港,SZ,7.0,71.68,21.19,61.91,4.9
000509,*ST华塑,SZ,4.5,50.31,20.88,41.73,4.4
000510,新金路,SZ,6.2,67.47,28.36,59.11,5.3
000513,丽珠集团,SZ,6.8,73.23,21.39,65.76,5.0
000514,渝开发,SZ,6.5,66.27,20.01,62.88,5.0
000516,国际医学,SZ,6.6,56.64,23.48,54.51,4.5
