stock_name,stock_id,totalscore,score_tech,score_money,score_news,score_industry,score_basic新媒股份,300770,6.2,6.6,7.1,6.1,1.8,7.0
白云机场,600004,6.7,9.0,5.5,5.5,6.2,5.9
武钢股份,600005,6.2,6.6,4.7,7.2,7.1,5.8
东风汽车,600006,4.9,3.4,4.5,5.5,5.6,6.3
中国国贸,600007,6.3,6.4,5.7,5.5,6.5,6.9
首创股份,600008,5.9,5.3,6.2,5.9,6.8,5.9
上海机场,600009,5.0,3.1,5.4,5.5,6.2,6.1
包钢股份,600010,5.1,6.0,4.3,5.5,5.3,4.5
华能国际,600011,5.4,4.4,5.8,5.9,6.2,5.8
皖通高速,600012,6.0,5.5,6.7,6.3,6.2,5.6
华夏银行,600015,5.7,4.6,6.0,5.8,7.5,5.8
民生银行,600016,6.2,7.0,5.8,5.5,7.5,5.5
日照港,600017,5.6,6.2,4.2,5.6,5.1,6.1
上港集团,600018,4.6,3.3,5.2,5.7,5.1,4.7
宝钢股份,600019,5.1,3.6,6.2,5.7,5.3,5.4
中原高速,600020,5.0,4.6,2.6,5.9,6.2,6.2
上海电力,600021,5.8,4.6,7.2,5.7,6.2,6.0
山东钢铁,600022,5.3,5.4,4.1,5.4,5.3,6.2
浙能电力,600023,4.8,3.9,6.1,5.9,2.8,4.8
华能水电,600025,6.2,6.6,5.9,5.9,2.8,7.7
中远海能,600026,5.0,3.4,5.8,5.7,5.1,6.0
华电国际,600027,5.0,3.4,5.0,5.9,6.2,5.9
中国石化,600028,6.1,5.2,5.5,7.7,6.4,6.5
南方航空,600029,5.0,3.7,5.5,5.5,6.2,5.4
中信证券,600030,4.5,3.7,2.7,5.9,5.4,5.8
三一重工,600031,6.4,7.2,4.8,5.9,6.3,6.9
福建高速,600033,5.2,4.5,4.9,6.3,6.2,5.4
楚天高速,600035,5.5,5.9,5.1,5.7,6.2,5.0
招商银行,600036,6.5,5.7,7.6,5.8,7.5,6.5
歌华有线,600037,5.1,5.5,4.5,5.5,5.0,4.8
中直股份,600038,5.1,3.6,5.2,5.5,4.8,6.5
四川路桥,600039,5.9,6.0,4.9,5.5,6.1,6.7
保利地产,600048,7.6,9.4,7.4,5.9,6.5,7.0
中国联通,600050,5.6,6.8,3.8,5.9,5.0,5.8
宁波联合,600051,5.0,5.0,3.0,6.3,5.5,5.5
浙江广厦,600052,5.4,6.1,3.9,5.7,5.2,5.7
九鼎投资,600053,5.9,5.3,6.3,5.8,5.6,6.3
黄山旅游,600054,5.4,3.8,6.9,5.6,5.4,6.0
万东医疗,600055,5.3,4.6,5.8,5.5,6.7,5.0
中国医药,600056,5.4,5.8,4.3,5.9,5.9,5.4
厦门象屿,600057,6.1,6.0,5.9,6.1,6.5,6.3
五矿发展,600058,5.5,6.2,5.0,5.5,6.0,4.9
古越龙山,600059,4.3,2.6,4.0,5.8,6.2,4.8
海信电器,600060,4.9,4.3,4.7,5.5,6.2,5.1
国投资本,600061,6.0,5.2,7.2,5.9,5.4,6.1
华润双鹤,600062,5.5,4.8,5.5,5.5,6.0,6.1
皖维高新,600063,5.8,5.3,2.5,8.7,6.3,7.0
南京高科,600064,6.0,5.8,6.2,6.6,5.7,6.0
宇通客车,600066,5.3,3.0,6.3,6.3,5.6,6.5
冠城大通,600067,5.5,5.6,3.6,5.7,6.5,6.2
葛洲坝,600068,6.2,7.2,4.3,5.9,6.1,6.7
银鸽投资,600069,5.9,6.5,6.3,5.7,6.0,5.1
浙江富润,600070,5.4,6.0,4.3,5.8,6.1,5.2
凤凰光学,600071,5.3,4.7,5.3,5.5,5.4,5.8
中船科技,600072,4.4,3.3,2.9,5.6,4.8,6.0
上海梅林,600073,4.9,5.0,2.6,5.5,5.9,5.9
*ST保千,600074,3.9,2.2,5.4,3.7,5.4,4.2
新疆天业,600075,6.0,5.5,7.8,5.6,6.4,5.3
康欣新材,600076,4.8,3.6,4.0,5.5,5.8,6.1
宋都股份,600077,4.8,4.7,3.9,5.5,6.5,4.6
澄星股份,600078,4.1,2.6,1.9,5.6,6.4,5.8
人福医药,600079,6.1,6.2,6.3,5.6,6.0,6.0
金花股份,600080,5.4,6.1,4.0,5.5,6.4,5.2
东风科技,600081,4.8,3.6,3.8,5.5,6.2,6.1
海泰发展,600082,4.5,3.3,4.0,5.5,5.7,5.2
博信股份,600083,6.9,9.0,6.2,5.5,5.1,6.6
*ST中葡,600084,6.2,8.6,4.1,6.4,6.2,4.7
同仁堂,600085,5.3,5.5,4.3,5.5,6.1,5.6
东方金钰,600086,3.9,2.6,3.0,4.5,6.5,4.7
退市长油,600087,4.8,5.0,5.0,4.8,4.3,4.6
中视传媒,600088,4.7,3.0,4.1,5.5,5.4,6.4
特变电工,600089,5.2,5.8,2.8,5.5,6.4,5.8
同济堂,600090,5.6,5.6,5.6,5.5,5.9,5.4
ST明科,600091,5.7,8.2,4.1,5.5,6.4,3.8
易见股份,600093,4.9,3.4,4.7,5.5,6.5,5.8
大名城,600094,5.3,2.6,8.8,5.7,6.5,5.1
哈高科,600095,4.5,3.4,3.2,5.8,5.5,5.5
云天化,600096,5.7,5.3,5.4,5.7,6.4,6.2
开创国际,600097,5.3,5.3,4.4,5.5,6.0,5.6
广州发展,600098,6.2,7.4,6.4,5.5,6.2,4.9
林海股份,600099,4.7,3.8,4.6,5.5,5.8,5.0
同方股份,600100,4.5,2.8,4.1,5.9,5.9,5.4
明星电力,600101,5.2,5.4,4.9,5.5,6.2,4.6
青山纸业,600103,5.5,4.9,6.9,5.5,6.0,5.0
上汽集团,600104,6.1,5.2,6.4,5.6,5.6,7.4
永鼎股份,600105,5.0,3.3,5.5,5.7,4.0,6.7
重庆路桥,600106,5.2,5.8,4.0,5.5,6.2,5.0
美尔雅,600107,4.7,4.2,2.9,5.5,6.0,5.8
亚盛集团,600108,5.2,5.5,4.5,5.5,5.8,5.1
国金证券,600109,4.8,4.0,3.9,5.9,5.4,5.7
诺德股份,600110,4.5,3.6,2.5,5.9,5.4,6.1
北方稀土,600111,4.9,5.6,3.2,5.5,5.8,4.8
ST天成,600112,4.2,2.6,3.9,5.5,6.4,4.6
浙江东日,600113,5.1,4.2,4.2,5.9,5.2,6.3
东睦股份,600114,5.3,4.4,5.6,5.5,5.2,6.0
东方航空,600115,4.6,3.5,3.9,5.8,6.2,5.3
三峡水利,600116,4.8,3.1,4.8,5.5,6.2,5.7
西宁特钢,600117,5.1,5.4,3.2,5.5,5.3,6.1
中国卫星,600118,4.5,3.7,3.0,5.5,4.8,6.0
*ST长投,600119,5.4,7.0,2.6,6.4,6.5,4.5
浙江东方,600120,5.2,3.6,6.0,6.6,5.6,5.4
郑州煤电,600121,4.7,3.1,6.4,4.7,6.0,4.6
宏图高科,600122,5.0,7.0,2.2,5.5,6.2,3.9
兰花科创,600123,5.5,5.7,4.4,5.5,6.0,6.1
铁龙物流,600125,4.8,5.3,2.6,5.5,6.2,5.0
杭钢股份,600126,5.4,4.5,7.4,6.0,5.3,4.7
金健米业,600127,4.6,4.6,2.6,5.6,6.0,5.1
弘业股份,600128,4.0,2.6,2.7,5.7,6.0,4.9
